RATING;TITLE;SYSTEM;GENRE;YEAR;DEVELOPER;PUBLISHER;FRANCHISE;ENTRY NUMBER;REGION;TEXT;VOICE;FORM;MULTIPLAYER;INFO
;"Ever17: The Out of Infinity";"Sony PSP";"Visual Novel";"2002";"KID";"Cyberfront";"Infinity";"2";"Japan";"Japanese";"Japanese";;"-";"Translation available"
;"Final Fantasy X HD Remaster";"Sony PS Vita";"RPG";"2013";"Square Enix
Virtuos";"Square Enix";"Final Fantasy";"10 (Remaster)";"Europe";"English";"English";"Physical & Digital";"-";"Undub available"
;"Final Fantasy X-2";"Sony PS2";"RPG";"2003";"Square Enix";"Square Enix";"Final Fantasy";"10-2";"US";"English";"English";;"-";"Undub available"
;"Final Fantasy X-2 HD Remaster";"Sony PS Vita";"RPG";"2013";"Square Enix
Virtuos";"Square Enix";"Final Fantasy";"10-2 (Remaster)";"Europe";"English";"English";"Physical & Digital";"-";"Undub available"
;"Final Fantasy X: International";"Sony PS2";"RPG";"2002";"Square Enix";"Square Enix";"Final Fantasy";"10 (Rerelease)";"Japan";"English";"English";;"-";"Undub available"
;"Final Fantasy XII";"Sony PS2";"RPG";"2006";"Square Enix";"Square Enix";"Final Fantasy";"12";"US";"English";"English";"Physical";"-";"Undub available"
;"Final Fantasy XIII";"Sony PS3";"RPG";"2010";"Square Enix";"Square Enix";"Final Fantasy";"13";"Asia";"English";"Japanese";;"-";
;"Final Fantasy XIII-2";"Sony PS3";"RPG";"2012";"Square Enix";"Square Enix";"Final Fantasy";"13-2";"Asia";"English";"Japanese";;"-";
;"Ghost Trick: Phantom Detective";"Nintendo DS";"Adventure";"2011";"Capcom";"Capcom";"-";"-";"Europe";"English";;;;
;"Higurashi no Naku Koro ni Hou";"Switch";"Visual Novel";"2018";"07th Expansion";"ENTERGRAM";"When they cry";"1 & 2 (Remake)";"Japan";"Japanese";"Japanese";;;"Translation available"
;"Hotel Dusk: Room 215";"Nintendo DS";"Adventure";"2007";"Cing";"Nintendo";"-";"-";"Europe";"English";;;;
;"JoJo's Bizarre Adventure: All Star Battle";"Sony PS3";"Fighting Game";"2014";"CyberConnect2";"Namco Bandai";"Jojo's Bizarre Adventure";"-";"Europe";"English";"Japanese";"Physical & Digital";"2P VS";
;"Kanon";"Windows";"Visual Novel";"1999";"Key";"Visual Arts";"-";"-";"Japan";"Japanese";"Japanese";;"-";"Translation Available"
;"Last Window: The Secret of Cape West";"Nintendo DS";"Adventure";"2010";"Cing";"Nintendo";"-";"-";"Europe";"English";;;;
;"LifeSigns: Surgical Unit";"Nintendo DS";"Adventure";"2008";"Spike";"JoWooD Productions";"-";"-";"Europe";"English";;;;
;"Lightning Returns: Final Fantasy XIII";"Sony PS3";"RPG";"2014";"Square Enix";"Square Enix";"Final Fantasy";"13-3";"Europe";"English";"English";;"-";"Undub available as DLC"
;"Lux Pain";"Nintendo DS";"Adventure";"2009";"Killaware";"Rising Star Games";"-";"-";"Europe";"English";;;;
;"Never7: The End of Infinity";"Sony PSP";"Visual Novel";"2009";"KID";"Cyberfront";"Infinity";"1";"Japan";"Japanese";"Japanese";;"-";"Translation available"
;"Nine Hours, Nine Persons, Nine Doors";"Nintendo DS";"Adventure";"2010";"Chunsoft";"Aksys Games";"Zero Escape";"1";"Europe";"English";"Japanese";;"-";
;"Norn9: Var Commons";"Sony PS Vita";"Visual Novel";"2015";"Otomate";"Idea Factory";"Norn9";"-";"Europe";;;;"-";
;"Persona 2: Eternal Punishment";"Sony PS1";"RPG";"2000";"Atlus";"Atlus USA";"Megami Tensei: Persona";"2-2";"US";"English";"English";;;"Undub Available"
;"Persona 2: Eternal Punishment";"Sony PSP";"RPG";"2012";"Atlus";"Atlus";"Megami Tensei: Persona";"2-2 (Remake)";"Japan";"Japanese";"Japanese";;;"Translation ongoing"
;"Persona 2: Tsumi - Innocent Sin";"Sony PS1";"RPG";"1999";"Atlus";"Atlus";"Megami Tensei: Persona";"2";"Japan";"Japanese";"Japanese";;;"Translation available"
;"Persona 5";"Sony PS3";"RPG";"2017";"Atlus";"Deep Silver";"Megami Tensei: Persona";"5";"Europe";"English";"English";;;"Undub available as DLC"
;"Persona 5 Royal";"Sony PS4";"RPG";"2020";"Atlus";"Sega";"Megami Tensei: Persona";"5 (Rerelease)";"Europe";"English";"English";;;"Undub available as DLC"
;"Raw Danger!";"Sony PS2";"Survival";"2007";"Item";"505 Games";"Zettai Zetsumei Toshi";"2";"Europe";"English";"English";"Physical";"-";"Undub available"
;"Remember11: The Age of Infinity";"Sony PSP";"Visual Novel";"2009";"KID";"Cyberfront";"Infinity";"3";"Japan";"Japanese";"Japanese";;"-";"Translation avaiable"
;"Revelations: Persona";"Sony PS1";"RPG";"1996";"Atlus";"Atlus USA";"Megami Tensei: Persona";"1";"US";"English";;;;
;"Robotics Notes DaSH";"Nintendo Switch";"Visual Novel";"2020";"Mages";"Spike Chunsoft";"Science Adventure";"3 Spinoff";"Europe";"English";"Japanese";;"-";
;"Robotics Notes Elite";"Nintendo Switch";"Visual Novel";"2020";"5pb.";"Numskull Games";"Science Adventure";"3 (Rerelease)";"Europe";"English";"Japanese";;"-";
;"Shin Megami Tensei: Persona";"Sony PSP";"RPG";"2009";"Atlus";"Atlus USA";"Megami Tensei: Persona";"1 (Remake)";"US";"English";"English";;;"Undub Available"
